No.,Time,Source,Destination,Protocol,Length,Info,Label
168,"2025-01-12 20:57:22,966801",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
169,"2025-01-12 20:57:22,966899",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
170,"2025-01-12 20:57:22,966961",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
171,"2025-01-12 20:57:22,967016",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
172,"2025-01-12 20:57:22,967101",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
173,"2025-01-12 20:57:22,967188",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
174,"2025-01-12 20:57:22,967251",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
175,"2025-01-12 20:57:22,967336",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
176,"2025-01-12 20:57:22,967428",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
177,"2025-01-12 20:57:22,967493",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
178,"2025-01-12 20:57:22,967584",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
179,"2025-01-12 20:57:22,967684",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
180,"2025-01-12 20:57:22,967777",192.168.1.21,142.250.82.208,UDP,1228,55959  >  3478 Len=1186,1
181,"2025-01-12 20:57:23,007935",192.168.1.21,142.250.82.208,UDP,1207,55959  >  3478 Len=1165,1
182,"2025-01-12 20:57:23,008109",192.168.1.21,142.250.82.208,UDP,1207,55959  >  3478 Len=1165,1
183,"2025-01-12 20:57:23,008186",192.168.1.21,142.250.82.208,UDP,1207,55959  >  3478 Len=1165,1
184,"2025-01-12 20:57:23,008237",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
185,"2025-01-12 20:57:23,008273",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
186,"2025-01-12 20:57:23,008330",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
187,"2025-01-12 20:57:23,008381",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
188,"2025-01-12 20:57:23,008415",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
189,"2025-01-12 20:57:23,008461",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
190,"2025-01-12 20:57:23,008507",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
191,"2025-01-12 20:57:23,008540",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
192,"2025-01-12 20:57:23,008587",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
193,"2025-01-12 20:57:23,008634",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
194,"2025-01-12 20:57:23,008690",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
195,"2025-01-12 20:57:23,008747",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
196,"2025-01-12 20:57:23,008802",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
197,"2025-01-12 20:57:23,008842",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
198,"2025-01-12 20:57:23,008896",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
199,"2025-01-12 20:57:23,008949",192.168.1.21,142.250.82.208,UDP,1208,55959  >  3478 Len=1166,1
200,"2025-01-12 20:57:23,013843",192.168.1.21,142.250.82.208,UDP,1056,55959  >  3478 Len=1014,1
201,"2025-01-12 20:57:23,014005",192.168.1.21,142.250.82.208,UDP,1056,55959  >  3478 Len=1014,1
202,"2025-01-12 20:57:23,014026",192.168.1.21,142.250.82.208,UDP,1056,55959  >  3478 Len=1014,1
203,"2025-01-12 20:57:23,014291",142.250.82.208,192.168.1.21,RTCP,130,Application specific   subtype=13,0
204,"2025-01-12 20:57:23,030135",142.250.82.208,192.168.1.21,RTCP,234,Receiver Report   ,0
205,"2025-01-12 20:57:23,034676",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182,1
206,"2025-01-12 20:57:23,034811",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182,1
207,"2025-01-12 20:57:23,034839",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182,1
208,"2025-01-12 20:57:23,034856",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182,1
209,"2025-01-12 20:57:23,034879",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
210,"2025-01-12 20:57:23,034912",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
211,"2025-01-12 20:57:23,034948",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
212,"2025-01-12 20:57:23,034974",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
213,"2025-01-12 20:57:23,035004",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
214,"2025-01-12 20:57:23,035037",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
215,"2025-01-12 20:57:23,035064",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
216,"2025-01-12 20:57:23,035086",192.168.1.21,142.250.82.208,UDP,1225,55959  >  3478 Len=1183,1
217,"2025-01-12 20:57:23,064388",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
218,"2025-01-12 20:57:23,064472",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
219,"2025-01-12 20:57:23,064582",142.250.82.208,192.168.1.21,RTCP,126,Application specific   subtype=13,0
220,"2025-01-12 20:57:23,064646",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
221,"2025-01-12 20:57:23,064716",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
222,"2025-01-12 20:57:23,064732",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
223,"2025-01-12 20:57:23,064748",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
224,"2025-01-12 20:57:23,064760",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
225,"2025-01-12 20:57:23,064958",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
226,"2025-01-12 20:57:23,065015",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
227,"2025-01-12 20:57:23,065040",192.168.1.21,142.250.82.208,UDP,1223,55959  >  3478 Len=1181,1
228,"2025-01-12 20:57:23,065060",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182,1
229,"2025-01-12 20:57:23,065077",192.168.1.21,142.250.82.208,UDP,1224,55959  >  3478 Len=1182,1
230,"2025-01-12 20:57:23,071019",192.168.1.21,142.250.82.212,UDP,158,58101  >  3478 Len=116,0
231,"2025-01-12 20:57:23,074253",142.250.82.208,192.168.1.21,UDP,78,3478  >  55959 Len=36,0
232,"2025-01-12 20:57:23,074547",192.168.1.21,142.250.82.208,UDP,1226,55959  >  3478 Len=1184,1
